title,url,release_date,critic_score,audience_score
Leviathan,https://www.rottentomatoes.com/m/leviathan,1989,23%,27%
Rooftops,https://www.rottentomatoes.com/m/rooftops,1989,10%,36%
976-EVIL,https://www.rottentomatoes.com/m/976evil,"Released Mar 22, 1989",15%,28%
Dead Bang,https://www.rottentomatoes.com/m/dead_bang,1989,33%,44%
Troop Beverly Hills,https://www.rottentomatoes.com/m/troop_beverly_hills,"Released Mar 22, 1989",14%,62%
Heathers,https://www.rottentomatoes.com/m/heathers,"Released Mar 31, 1989",95%,83%
Cyborg,https://www.rottentomatoes.com/m/cyborg,"Released Apr 7, 1989",22%,31%
Dead Calm,https://www.rottentomatoes.com/m/dead_calm,"Released Apr 7, 1989",84%,63%
The Dream Team,https://www.rottentomatoes.com/m/the_dream_team,1989,50%,61%
Dream Team,https://www.rottentomatoes.com/m/dream_team,2019,,
Major League,https://www.rottentomatoes.com/m/major_league,"Released Apr 7, 1989",83%,84%
Disorganized Crime,https://www.rottentomatoes.com/m/disorganized_crime,"Released Apr 14, 1989",43%,58%
Say Anything...,https://www.rottentomatoes.com/m/say_anything,"Released Apr 14, 1989",98%,85%
She's Out of Control,https://www.rottentomatoes.com/m/shes_out_of_control,"Released Apr 14, 1989",11%,52%
Winter People,https://www.rottentomatoes.com/m/winter_people,1989,20%,52%
Checking Out,https://www.rottentomatoes.com/m/checking_out,2005,43%,58%
Field of Dreams,https://www.rottentomatoes.com/m/field_of_dreams,"Released Apr 21, 1989",88%,86%
Pet Sematary,https://www.rottentomatoes.com/m/pet_sematary,"Released Apr 21, 1989",56%,60%
Red Scorpion,https://www.rottentomatoes.com/m/red_scorpion,1989,17%,35%
See You in the Morning,https://www.rottentomatoes.com/m/see_you_in_the_morning,"Released Apr 21, 1989",55%,35%
Speed Zone!,https://www.rottentomatoes.com/m/speed_zone,1989,0%,37%
Teen Witch,https://www.rottentomatoes.com/m/teen_witch,"Released Mar 15, 1990",43%,74%
Murderers Among Us: The Simon Wiesenthal Story,https://www.rottentomatoes.com/m/murderers_among_us_the_simon_wiesenthal_story,1989,,
Criminal Law,https://www.rottentomatoes.com/m/criminal_law,1988,33%,27%
The Horror Show,https://www.rottentomatoes.com/m/the_horror_show,1979,,
The Horror Show,https://www.rottentomatoes.com/m/horror_show,1989,0%,27%
K-9,https://www.rottentomatoes.com/m/k9,1989,30%,44%
Loverboy,https://www.rottentomatoes.com/m/loverboy,1983,,
Miss Firecracker,https://www.rottentomatoes.com/m/miss_firecracker,"Released Apr 28, 1989",75%,52%
Scandal,https://www.rottentomatoes.com/m/scandal,1982,,
How to Get Ahead in Advertising,https://www.rottentomatoes.com/m/how_to_get_ahead_in_advertising,"Released May 5, 1989",60%,77%
Listen to Me,https://www.rottentomatoes.com/m/listen_to_me,1989,20%,69%
Lost Angels,https://www.rottentomatoes.com/m/lost_angels,1989,40%,66%
Earth Girls Are Easy,https://www.rottentomatoes.com/m/earth_girls_are_easy,"Released May 12, 1989",68%,43%
The Rachel Papers,https://www.rottentomatoes.com/m/rachel_papers,1989,45%,53%
"See No Evil, Hear No Evil",https://www.rottentomatoes.com/m/see_no_evil_hear_no_evil,1989,27%,72%
Cold Feet,https://www.rottentomatoes.com/m/cold_feet,1984,,
For Queen and Country,https://www.rottentomatoes.com/m/for_queen_and_country,"Released May 19, 1988",29%,28%
How I Got Into College,https://www.rottentomatoes.com/m/how_i_got_into_college,1989,50%,42%
Miracle Mile,https://www.rottentomatoes.com/m/miracle_mile,1988,91%,73%
Road House,https://www.rottentomatoes.com/m/road_house,2024,59%,53%
Indiana Jones and the Last Crusade,https://www.rottentomatoes.com/m/indiana_jones_and_the_last_crusade,"Released May 24, 1989",84%,94%
Pink Cadillac,https://www.rottentomatoes.com/m/pink_cadillac,1989,24%,25%
Third Degree Burn,https://www.rottentomatoes.com/m/third_degree_burn,1989,,14%
Dead Poets Society,https://www.rottentomatoes.com/m/dead_poets_society,"Released Jun 2, 1989",84%,92%
No Holds Barred,https://www.rottentomatoes.com/m/no_holds_barred,"Released Jun 2, 1989",10%,34%
The Renegade,https://www.rottentomatoes.com/m/renegades,"Released Aug 25, 1943",,
Scenes From the Class Struggle in Beverly Hills,https://www.rottentomatoes.com/m/scenes_from_the_class_struggle_in_beverly_hills,1989,78%,61%
Vampire's Kiss,https://www.rottentomatoes.com/m/vampires_kiss,"Released Jun 2, 1989",65%,54%
Star Trek V: The Final Frontier,https://www.rottentomatoes.com/m/star_trek_v_the_final_frontier,"Released Jun 9, 1989",23%,25%
"Honey, I Shrunk the Kids",https://www.rottentomatoes.com/m/honey_i_shrunk_the_kids,"Released Jun 23, 1989",76%,54%
Traveling Man,https://www.rottentomatoes.com/m/traveling_man,1989,,80%
Do the Right Thing,https://www.rottentomatoes.com/m/do_the_right_thing,"Released Jun 30, 1989",92%,89%
Great Balls of Fire!,https://www.rottentomatoes.com/m/great_balls_of_fire,1989,63%,53%
The Karate Kid Part III,https://www.rottentomatoes.com/m/the_karate_kid_part_iii,1989,15%,35%
The Karate Kid Part III,https://www.rottentomatoes.com/m/karate_kid_part_iii,1989,15%,35%
Weekend at Bernie's,https://www.rottentomatoes.com/m/weekend_at_bernies,1989,54%,57%
Lethal Weapon 2,https://www.rottentomatoes.com/m/lethal_weapon_2,"Released Jul 7, 1989",82%,78%
Licence to Kill,https://www.rottentomatoes.com/m/licence_to_kill,"Released Jul 14, 1989",80%,61%
Peter Pan,https://www.rottentomatoes.com/m/peter_pan,1988,,50%
UHF,https://www.rottentomatoes.com/m/uhf,"Released Jul 21, 1989",63%,77%
When Harry Met Sally...,https://www.rottentomatoes.com/m/when_harry_met_sally,"Released Jul 12, 1989",89%,89%
Babar: The Movie,https://www.rottentomatoes.com/m/babar_the_movie,"Released Jul 28, 1989",,73%
Turner & Hooch,https://www.rottentomatoes.com/m/turner_and_hooch,1989,52%,51%
Who Shot Pat?,https://www.rottentomatoes.com/m/who_shot_pat,1989,,9%
Parenthood,https://www.rottentomatoes.com/m/parenthood,"Released Jul 31, 1989",92%,76%
Lock Up,https://www.rottentomatoes.com/m/lock_up,1984,,
Young Einstein,https://www.rottentomatoes.com/m/young_einstein,1988,36%,50%
The Abyss,https://www.rottentomatoes.com/m/the_abyss,2023,80%,25%
The Abyss,https://www.rottentomatoes.com/m/abyss,"Released Aug 9, 1989",89%,83%
A Nightmare on Elm Street 5: The Dream Child,https://www.rottentomatoes.com/m/a_nightmare_on_elm_street_5_the_dream_child,"Released Aug 11, 1989",31%,31%
Rude Awakening,https://www.rottentomatoes.com/m/rude_awakening,1981,,
Uncle Buck,https://www.rottentomatoes.com/m/uncle_buck,"Released Aug 16, 1989",62%,77%
Blood Red,https://www.rottentomatoes.com/m/blood_red,"Released Aug 18, 1989",,28%
Casualties of War,https://www.rottentomatoes.com/m/casualties_of_war,"Released Aug 18, 1989",84%,75%
Cheetah,https://www.rottentomatoes.com/m/cheetah,"Released Aug 18, 1989",43%,54%
Cookie,https://www.rottentomatoes.com/m/cookie,1989,13%,37%
"Sex, Lies, and Videotape",https://www.rottentomatoes.com/m/sex_lies_and_videotape,"Released Aug 4, 1989",96%,79%
Tailspin: Behind the Korean Airliner Tragedy,https://www.rottentomatoes.com/m/tailspin_behind_the_korean_airliner_tragedy,1989,,
Heart of Dixie,https://www.rottentomatoes.com/m/heart_of_dixie,"Released Aug 25, 1989",,25%
Little Monsters,https://www.rottentomatoes.com/m/little_monsters,"Released Aug 25, 1989",44%,62%
The Package,https://www.rottentomatoes.com/m/the_package,2016,,
The Package,https://www.rottentomatoes.com/m/package,1989,68%,44%
Wired,https://www.rottentomatoes.com/m/wired,1989,4%,15%
Shirley Valentine,https://www.rottentomatoes.com/m/shirley_valentine,"Released Aug 30, 1989",72%,86%
Relentless,https://www.rottentomatoes.com/m/relentless,1989,50%,33%
Sea of Love,https://www.rottentomatoes.com/m/sea_of_love,1989,75%,66%
True Love,https://www.rottentomatoes.com/m/true_love,2014,,
The Heist,https://www.rottentomatoes.com/m/the_heist,1972,,
Heist,https://www.rottentomatoes.com/m/heist,2009,,
Gandahar,https://www.rottentomatoes.com/m/gandahar,"Released Jan 28, 1988",,74%
Black Rain,https://www.rottentomatoes.com/m/black_rain,"Released Sep 22, 1989",54%,55%
Erik the Viking,https://www.rottentomatoes.com/m/erik_the_viking,1965,,
Penn & Teller Get Killed,https://www.rottentomatoes.com/m/penn_and_teller_get_killed,1989,25%,58%
In Country,https://www.rottentomatoes.com/m/in_country,1989,68%,35%
Johnny Handsome,https://www.rottentomatoes.com/m/johnny_handsome,1989,60%,47%
Welcome Home,https://www.rottentomatoes.com/m/welcome_home,1935,,
Old Gringo,https://www.rottentomatoes.com/m/old_gringo,"Released Oct 6, 1989",46%,45%
Puppet Master,https://www.rottentomatoes.com/m/puppet_master,1989,43%,40%
Breaking In,https://www.rottentomatoes.com/m/breaking_in,1989,80%,43%
Crimes and Misdemeanors,https://www.rottentomatoes.com/m/crimes_and_misdemeanors,"Released Oct 13, 1989",92%,91%
The Fabulous Baker Boys,https://www.rottentomatoes.com/m/fabulous_baker_boys,"Released Oct 13, 1989",97%,70%
Halloween 5: The Revenge of Michael Myers,https://www.rottentomatoes.com/m/halloween_5_the_revenge_of_michael_myers,"Released Oct 13, 1989",12%,36%
"I, Madman",https://www.rottentomatoes.com/m/i_madman,1989,67%,40%
Look Who's Talking,https://www.rottentomatoes.com/m/look_whos_talking,1989,58%,47%
Drugstore Cowboy,https://www.rottentomatoes.com/m/drugstore_cowboy,"Released Oct 6, 1989",97%,85%
Fat Man and Little Boy,https://www.rottentomatoes.com/m/fat_man_and_little_boy,"Released Oct 20, 1989",50%,46%
Gross Anatomy,https://www.rottentomatoes.com/m/gross_anatomy,"Released Oct 20, 1987",36%,53%
Next of Kin,https://www.rottentomatoes.com/m/next_of_kin,"Released Oct 20, 1989",50%,46%
When the Whales Came,https://www.rottentomatoes.com/m/when_the_whales_came,1989,60%,86%
The Bear,https://www.rottentomatoes.com/m/the_bear,2015,,
Bear,https://www.rottentomatoes.com/m/bear,"Released Jun 4, 2010",,29%
Immediate Family,https://www.rottentomatoes.com/m/immediate_family,"Released Oct 27, 1989",54%,55%
Dad,https://www.rottentomatoes.com/m/dad,"Released Oct 27, 1989",58%,61%
Shocker,https://www.rottentomatoes.com/m/shocker,"Released Oct 27, 1989",30%,31%
Worth Winning,https://www.rottentomatoes.com/m/worth_winning,1989,0%,42%
The Ungodly,https://www.rottentomatoes.com/m/perfect_witness,2007,,39%
Bloodhounds of Broadway,https://www.rottentomatoes.com/m/bloodhounds_of_broadway,"Released Nov 14, 1952",,
Dealers,https://www.rottentomatoes.com/m/dealers,1989,,62%
Limit Up,https://www.rottentomatoes.com/m/limit_up,1989,,
The Phantom of the Opera,https://www.rottentomatoes.com/m/phantom_of_the_opera,"Released Jan 21, 2005",33%,84%
Second Sight,https://www.rottentomatoes.com/m/second_sight,1995,,
Stepfather II,https://www.rottentomatoes.com/m/stepfather_ii,"Released Nov 3, 1989",13%,35%
Best of the Best,https://www.rottentomatoes.com/m/best_of_the_best,1992,,
Communion,https://www.rottentomatoes.com/m/communion,"Released Nov 10, 1989",43%,46%
My Left Foot,https://www.rottentomatoes.com/m/my_left_foot,"Released Nov 10, 1989",98%,92%
Staying Together,https://www.rottentomatoes.com/m/staying_together,"Released Nov 10, 1989",80%,55%
Steel Magnolias,https://www.rottentomatoes.com/m/steel_magnolias,"Released Nov 15, 1989",73%,89%
All Dogs Go to Heaven,https://www.rottentomatoes.com/m/all_dogs_go_to_heaven,"Released Nov 17, 1989",44%,63%
Harlem Nights,https://www.rottentomatoes.com/m/harlem_nights,"Released Nov 17, 1989",26%,80%
The Little Mermaid,https://www.rottentomatoes.com/m/the_little_mermaid,1992,,54%
Little Mermaid,https://www.rottentomatoes.com/m/little_mermaid,2016,,44%
Mystery Train,https://www.rottentomatoes.com/m/mystery_train,1931,,
Prancer,https://www.rottentomatoes.com/m/prancer,"Released Nov 17, 1989",67%,58%
Valmont,https://www.rottentomatoes.com/m/valmont,"Released Nov 17, 1989",48%,69%
"Red King, White Knight",https://www.rottentomatoes.com/m/red_king_white_knight,1989,,
National Lampoon's Christmas Vacation,https://www.rottentomatoes.com/m/national_lampoons_christmas_vacation,"Released Dec 1, 1989",70%,86%
She-Devil,https://www.rottentomatoes.com/m/shedevil,"Released Dec 8, 1989",48%,49%
Triumph of the Spirit,https://www.rottentomatoes.com/m/triumph_of_the_spirit,"Released Dec 8, 1989",63%,52%
The War of the Roses,https://www.rottentomatoes.com/m/war_of_the_roses,1989,83%,71%
"Enemies, a Love Story",https://www.rottentomatoes.com/m/enemies_a_love_story,"Released Dec 13, 1989",89%,54%
New Year's Day,https://www.rottentomatoes.com/m/new_years_day,1989,,56%
Blaze,https://www.rottentomatoes.com/m/blaze,"Released Dec 13, 1989",75%,49%
Driving Miss Daisy,https://www.rottentomatoes.com/m/driving_miss_daisy,"Released Dec 13, 1989",85%,81%
Family Business,https://www.rottentomatoes.com/m/family_business,1989,35%,28%
Glory,https://www.rottentomatoes.com/m/glory,1956,,
The Wizard,https://www.rottentomatoes.com/m/the_wizard,1927,,
The Wizard,https://www.rottentomatoes.com/m/wizard,"Released Dec 15, 1989",27%,59%
Born on the Fourth of July,https://www.rottentomatoes.com/m/born_on_the_fourth_of_july,"Released Dec 20, 1989",84%,76%
Roger & Me,https://www.rottentomatoes.com/m/roger_and_me,"Released Dec 20, 1989",100%,79%
Camille Claudel,https://www.rottentomatoes.com/m/camille_claudel,"Released Dec 21, 1989",92%,88%
Always,https://www.rottentomatoes.com/m/always,"Released Dec 22, 1989",68%,58%
Music Box,https://www.rottentomatoes.com/m/music_box,1980,,
Tango & Cash,https://www.rottentomatoes.com/m/tango_and_cash,1989,31%,52%
Home Alone,https://www.rottentomatoes.com/m/home_alone,"Released Nov 16, 1990",66%,80%
Ghost,https://www.rottentomatoes.com/m/ghost,2004,,50%
Dances With Wolves,https://www.rottentomatoes.com/m/dances_with_wolves,"Released Nov 21, 1990",87%,87%
Pretty Woman,https://www.rottentomatoes.com/m/pretty_woman,"Released Mar 23, 1990",65%,68%
TMNT,https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles,"Released Mar 23, 2007",36%,60%
The Hunt for Red October,https://www.rottentomatoes.com/m/hunt_for_red_october,"Released Feb 2, 1990",88%,88%
Total Recall,https://www.rottentomatoes.com/m/total_recall,"Released Jun 1, 1990",82%,79%
Die Hard 2,https://www.rottentomatoes.com/m/die_hard_2,"Released Jul 4, 1990",69%,70%
Kindergarten Cop,https://www.rottentomatoes.com/m/kindergarten_cop,"Released Dec 21, 1990",54%,52%
Henry: Portrait of a Serial Killer,https://www.rottentomatoes.com/m/henry_portrait_of_a_serial_killer,1986,89%,71%
Downtown,https://www.rottentomatoes.com/m/downtown,"Released Jan 12, 1990",,32%
Internal Affairs,https://www.rottentomatoes.com/m/internal_affairs,"Released Jan 12, 1990",79%,59%
Ski Patrol,https://www.rottentomatoes.com/m/ski_patrol,"Released Jan 12, 1990",,52%
Brain Dead,https://www.rottentomatoes.com/m/brain_dead,"Released Jan 19, 1990",17%,68%
Everybody Wins,https://www.rottentomatoes.com/m/everybody_wins,1990,13%,35%
Tremors,https://www.rottentomatoes.com/m/tremors,"Released Jan 19, 1990",88%,75%
Flashback,https://www.rottentomatoes.com/m/flashback,2021,,
Heart Condition,https://www.rottentomatoes.com/m/heart_condition,1990,10%,34%
Men Don't Leave,https://www.rottentomatoes.com/m/men_dont_leave,"Released Feb 2, 1990",83%,62%
Stella,https://www.rottentomatoes.com/m/stella,1990,29%,76%
Hard to Kill,https://www.rottentomatoes.com/m/hard_to_kill,1990,33%,47%
Loose Cannons,https://www.rottentomatoes.com/m/loose_cannons,1990,0%,27%
Stanley & Iris,https://www.rottentomatoes.com/m/stanley_and_iris,1990,29%,49%
Courage Mountain,https://www.rottentomatoes.com/m/courage_mountain,"Released Feb 16, 1990",,66%
Madhouse,https://www.rottentomatoes.com/m/madhouse,1981,,24%
Revenge,https://www.rottentomatoes.com/m/revenge,1971,0%,12%
Cinema Paradiso,https://www.rottentomatoes.com/m/cinema_paradiso,"Released Feb 23, 1988",91%,96%
Mountains of the Moon,https://www.rottentomatoes.com/m/mountains_of_the_moon,"Released Feb 23, 1990",65%,77%
Nightbreed,https://www.rottentomatoes.com/m/nightbreed,1990,53%,60%
The Hunt for Red October,https://www.rottentomatoes.com/m/hunt_for_red_october,"Released Feb 2, 1990",88%,88%
Bad Influence,https://www.rottentomatoes.com/m/bad_influence,"Released Mar 9, 1990",65%,51%
Coupe de Ville,https://www.rottentomatoes.com/m/coupe_de_ville,"Released Mar 9, 1990",25%,72%
The Handmaid's Tale,https://www.rottentomatoes.com/m/handmaids_tale,1990,32%,43%
House Party,https://www.rottentomatoes.com/m/house_party,"Released Mar 9, 1990",94%,81%
Joe Versus the Volcano,https://www.rottentomatoes.com/m/joe_versus_the_volcano,1990,67%,54%
The Last of the Finest,https://www.rottentomatoes.com/m/last_of_the_finest,"Released Mar 9, 1990",,26%
Love at Large,https://www.rottentomatoes.com/m/love_at_large,1990,78%,44%
Blind Fury,https://www.rottentomatoes.com/m/blind_fury,1989,53%,51%
Blue Steel,https://www.rottentomatoes.com/m/blue_steel,"Released May 10, 1934",,36%
The Forbidden Dance,https://www.rottentomatoes.com/m/the_forbidden_dance,1990,23%,77%
Lord of the Flies,https://www.rottentomatoes.com/m/lord_of_the_flies,"Released Mar 16, 1990",55%,52%
Nuns on the Run,https://www.rottentomatoes.com/m/nuns_on_the_run,1990,42%,53%
Pretty Woman,https://www.rottentomatoes.com/m/pretty_woman,"Released Mar 23, 1990",65%,68%
Opportunity Knocks,https://www.rottentomatoes.com/m/opportunity_knocks,"Released Mar 30, 1990",11%,47%
Side Out,https://www.rottentomatoes.com/m/side_out,1990,,60%
TMNT,https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles,"Released Mar 23, 2007",36%,60%
Backtrack,https://www.rottentomatoes.com/m/catchfire,"Released Apr 3, 1990",40%,24%
"The Cook, the Thief, His Wife and Her Lover",https://www.rottentomatoes.com/m/the_cook_the_thief_his_wife_and_her_lover,"Released Apr 6, 1990",86%,88%
"The Cook, the Thief, His Wife and Her Lover",https://www.rottentomatoes.com/m/cook_the_thief_his_wife_and_her_lover,"Released Apr 6, 1990",86%,88%
Crybaby,https://www.rottentomatoes.com/m/crybaby,2018,,
Ernest Goes to Jail,https://www.rottentomatoes.com/m/ernest_goes_to_jail,"Released Apr 6, 1990",11%,49%
The First Power,https://www.rottentomatoes.com/m/first_power,1990,25%,46%
I Love You to Death,https://www.rottentomatoes.com/m/i_love_you_to_death,"Released Apr 6, 1990",58%,62%
Impulse,https://www.rottentomatoes.com/m/impulse,2008,,22%
In the Spirit,https://www.rottentomatoes.com/m/in_the_spirit,1990,,67%
Crazy People,https://www.rottentomatoes.com/m/crazy_people,1990,35%,62%
Vital Signs,https://www.rottentomatoes.com/m/vital_signs,1990,43%,31%
